================= k=2 =================
datasets	kplex-full	kplex-no-seesaw	kplex-no-rule2	kplex-UP1	kplex-distance4	kPlexS	
hamming6-2	0.50	4.81	*0.44	0.50	0.46	2.03	
johnson8-4-4	2.87	3.42	2.75	3.24	3.01	*2.50	
san200-0-9-2	-	-	-	-	-	-	
keller4	59.06	145.40	*52.71	80.05	62.05	171.41	
socfb-Texas84	2.21	2.69	*1.98	2.21	2.06	2.07	
sc-pkustk11	0.89	0.90	0.90	*0.85	0.89	0.89	
socfb-UF	2.08	2.90	*1.78	2.06	2.06	2.03	
socfb-B-anon	23.47	24.47	*20.38	20.63	23.63	21.22	
sc-pwtk	1.33	1.33	1.33	*1.28	1.28	1.38	
soc-flixster	1.63	3.47	*1.60	1.72	1.61	2.68	
tech-WHOIS	0.47	1.07	*0.43	0.48	0.46	0.53	
ia-wiki-Talk	0.87	1.20	*0.80	1.35	0.88	2.38	
socfb-Duke14	2.45	6.24	2.31	3.00	*2.31	7.20	
socfb-Indiana	1.78	1.48	1.57	*1.44	1.79	1.65	
socfb-OR	0.41	0.47	0.41	0.42	0.42	*0.40	
socfb-Texas84	2.21	2.69	*1.98	2.21	2.06	2.07	
sc-msdoor	6.68	6.63	6.91	6.98	*6.56	8.74	
soc-FourSquare	10.17	10.43	10.22	12.01	10.33	*9.68	
sc-ldoor	*11.75	12.03	12.32	12.33	12.10	14.04	
soc-lastfm	4.46	8.26	*4.23	8.59	5.07	22.02	
soc-LiveMocha	4.87	6.76	*4.17	6.72	4.89	32.03	
soc-orkut	228.91	377.60	227.46	234.60	*218.24	516.70	
soc-BlogCatalog	8166.93	-	6238.33	-	7898.47	-	
soc-buzznet	385.52	1068.78	354.31	939.71	390.70	-	
soc-digg	105.42	679.96	*95.90	194.30	102.82	2863.22	
soc-flickr	-	-	-	-	-	-	
================= k=3 =================
datasets	kplex-full	kplex-no-seesaw	kplex-no-rule2	kplex-UP1	kplex-distance4	kPlexS	
hamming6-2	565.28	424.16	508.52	569.82	572.59	*148.95	
johnson8-4-4	37.13	28.14	35.91	39.66	39.31	*21.73	
san200-0-9-2	219.68	*77.51	181.82	231.70	232.90	4616.88	
keller4	319.82	416.09	*244.41	347.20	320.91	1428.01	
socfb-Texas84	15.33	8.01	13.16	14.55	13.90	*2.17	
sc-pkustk11	0.90	0.91	0.89	0.94	*0.87	0.93	
socfb-UF	12.22	7.96	10.51	12.21	11.08	*1.69	
socfb-B-anon	26.76	24.66	23.96	30.75	27.35	*20.59	
sc-pwtk	1.54	1.56	*1.48	1.55	1.49	1.60	
soc-flixster	40.30	10.47	33.68	43.36	38.92	*5.00	
tech-WHOIS	10.40	5.48	8.39	11.21	10.22	*0.29	
ia-wiki-Talk	11.13	9.65	10.67	23.92	11.36	*5.00	
socfb-Duke14	32.25	*13.82	27.76	38.89	34.63	16.59	
socfb-Indiana	1.42	1.51	1.45	1.43	1.60	*1.27	
socfb-OR	0.46	0.40	0.44	0.46	0.44	*0.33	
socfb-Texas84	15.33	8.01	13.16	14.55	13.90	*2.17	
sc-msdoor	39.03	*21.88	36.89	39.03	32.80	31.08	
soc-FourSquare	2.71	2.98	2.82	4.78	2.88	*1.49	
sc-ldoor	73.80	*45.21	70.71	76.92	67.04	57.15	
soc-lastfm	58.76	60.53	*55.84	138.08	61.28	59.13	
soc-LiveMocha	59.35	56.01	*53.89	150.80	59.27	183.57	
soc-orkut	5466.29	*681.69	4723.10	5485.84	5531.74	789.28	
soc-BlogCatalog	-	-	-	-	-	-	
soc-buzznet	-	-	-	-	-	-	
soc-digg	5978.92	6870.58	5250.50	-	6348.01	-	
soc-flickr	-	-	-	-	-	-	
================= k=4 =================
datasets	kplex-full	kplex-no-seesaw	kplex-no-rule2	kplex-UP1	kplex-distance4	kPlexS	
hamming6-2	679.40	*384.59	586.19	677.72	644.08	550.30	
johnson8-4-4	396.34	290.95	373.68	390.82	399.01	*275.14	
san200-0-9-2	-	407.60	-	-	-	-	
keller4	-	-	-	-	-	-	
socfb-Texas84	79.59	22.56	71.15	79.85	73.75	*1.99	
sc-pkustk11	1.03	*0.91	1.02	1.04	0.99	0.97	
socfb-UF	76.55	17.04	74.30	79.82	64.25	*1.18	
socfb-B-anon	87.96	52.18	76.96	88.02	74.33	*19.85	
sc-pwtk	1.70	*1.63	1.70	1.64	1.70	1.80	
soc-flixster	547.14	49.69	471.69	605.03	573.76	*8.98	
tech-WHOIS	79.69	12.74	67.95	83.19	73.96	*0.11	
ia-wiki-Talk	97.66	73.33	92.54	180.65	96.52	*2.86	
socfb-Duke14	402.36	102.58	336.70	433.61	384.71	*59.59	
socfb-Indiana	1.54	1.56	1.65	1.53	1.70	*1.29	
socfb-OR	1.54	0.79	1.33	1.51	1.44	*0.30	
socfb-Texas84	79.59	22.56	71.15	79.85	73.75	*1.99	
sc-msdoor	278.97	*151.57	260.86	272.61	250.49	390.94	
soc-FourSquare	110.70	106.36	101.71	440.13	105.34	*1.58	
sc-ldoor	514.79	*296.43	464.40	524.51	459.43	698.36	
soc-lastfm	726.60	567.84	714.79	1589.47	738.10	*62.07	
soc-LiveMocha	1146.93	872.32	1089.06	2869.94	1129.89	*486.01	
soc-orkut	-	-	-	-	-	-	
soc-BlogCatalog	-	-	-	-	-	-	
soc-buzznet	-	-	-	-	-	-	
soc-digg	-	-	-	-	-	-	
soc-flickr	-	-	-	-	-	-	
================= k=5 =================
datasets	kplex-full	kplex-no-seesaw	kplex-no-rule2	kplex-UP1	kplex-distance4	kPlexS	
hamming6-2	175.17	*87.46	155.47	182.84	156.46	94.61	
johnson8-4-4	190.95	*125.37	168.85	195.21	191.63	170.96	
san200-0-9-2	-	8973.60	-	-	-	-	
keller4	-	-	-	-	-	-	
socfb-Texas84	9.72	4.53	9.84	10.24	7.86	*1.15	
sc-pkustk11	9.53	*3.04	8.01	9.47	8.33	131.17	
socfb-UF	92.86	34.92	121.38	93.75	64.30	*0.97	
socfb-B-anon	1049.94	406.90	928.37	1057.06	960.28	*19.04	
sc-pwtk	3.36	2.60	3.21	3.22	2.50	*2.02	
soc-flixster	2464.92	260.38	2040.56	2471.49	2402.86	*9.07	
tech-WHOIS	5204.08	362.86	4404.99	5267.92	4842.45	*0.39	
ia-wiki-Talk	1372.36	1062.88	1355.12	2461.91	1393.99	*3.48	
socfb-Duke14	1759.92	685.25	1562.86	1966.68	1789.32	*95.39	
socfb-Indiana	1.94	1.83	1.77	1.88	2.04	*1.40	
socfb-OR	1.28	0.75	1.20	1.28	1.02	*0.27	
socfb-Texas84	9.72	4.53	9.84	10.24	7.86	*1.15	
sc-msdoor	720.38	*326.99	708.64	703.69	605.32	503.65	
soc-FourSquare	163.16	176.25	152.31	506.54	157.55	*2.08	
sc-ldoor	1254.59	*600.66	1317.79	1286.86	1090.09	884.93	
soc-lastfm	-	-	-	-	-	150.95	
soc-LiveMocha	-	-	-	-	-	1640.12	
soc-orkut	-	-	-	-	-	-	
soc-BlogCatalog	-	-	-	-	-	-	
soc-buzznet	-	-	-	-	-	-	
soc-digg	-	-	-	-	-	-	
soc-flickr	-	-	-	-	-	-	
